 detections_count = 1827, unique_truth_count = 1680
D:\YOLO_Base\darknet-master_V4\darknet-master\build\darknet\x64\results\Aps.txt
class_id = 0, name = Dunhill_gold_s, ap = 81.29%         (TP = 16, FP = 4)
class_id = 103, name = West_wh-blue, ap = 100.00%        (TP = 34, FP = 0)
class_id = 104, name = West_wh-red, ap = 100.00%         (TP = 23, FP = 0)
class_id = 105, name = West_red, ap = 100.00%            (TP = 29, FP = 0)
class_id = 106, name = LM_bk-gre, ap = 100.00%           (TP = 3, FP = 0)
class_id = 107, name = LM_bk-gre_s, ap = 100.00%         (TP = 4, FP = 0)
class_id = 108, name = LM_bk-p, ap = 83.33%      (TP = 4, FP = 0)
class_id = 109, name = LM_bk-p_s, ap = 90.00%            (TP = 8, FP = 0)
class_id = 110, name = LM_red, ap = 0.00%        (TP = 0, FP = 0)
class_id = 111, name = LM_blue, ap = 0.00%       (TP = 0, FP = 0)
class_id = 112, name = LM_red-fon, ap = 0.00%            (TP = 0, FP = 0)
class_id = 113, name = LM_blue_s, ap = 100.00%           (TP = 1, FP = 0)
class_id = 114, name = LM_wh_s, ap = 100.00%     (TP = 1, FP = 0)
class_id = 115, name = LM_wh_bl, ap = 100.00%            (TP = 5, FP = 0)
class_id = 116, name = LM_red-wh, ap = 100.00%           (TP = 2, FP = 0)
class_id = 117, name = LM_red-wh_s, ap = 100.00%         (TP = 1, FP = 0)
class_id = 118, name = LM_blue-wh, ap = 100.00%          (TP = 1, FP = 0)
class_id = 119, name = LM_wh-red, ap = 100.00%           (TP = 19, FP = 0)
class_id = 120, name = LM_wh-red_s, ap = 100.00%         (TP = 1, FP = 0)
class_id = 121, name = LM_wh-blue, ap = 100.00%          (TP = 13, FP = 0)
class_id = 122, name = LM_wh-blue_s, ap = 100.00%        (TP = 1, FP = 0)
class_id = 123, name = LM_L-blue, ap = 100.00%           (TP = 2, FP = 0)
class_id = 124, name = LM_L-blue_s, ap = 100.00%         (TP = 2, FP = 0)
class_id = 125, name = LM_bl-fon, ap = 0.00%     (TP = 0, FP = 0)
class_id = 126, name = LM_bl-fon_s, ap = 0.00%           (TP = 0, FP = 0)
class_id = 127, name = LM_gray-wh, ap = 100.00%          (TP = 1, FP = 0)
class_id = 128, name = LM_gray-wh_s, ap = 0.00%          (TP = 0, FP = 0)
class_id = 129, name = LM_ball, ap = 100.00%     (TP = 11, FP = 0)
class_id = 130, name = LM_ball_s, ap = 100.00%           (TP = 4, FP = 0)
class_id = 131, name = MB_red, ap = 100.00%      (TP = 35, FP = 0)
class_id = 132, name = MB_red_f, ap = 100.00%            (TP = 32, FP = 0)
class_id = 133, name = MB_red_s, ap = 100.00%            (TP = 16, FP = 0)
class_id = 134, name = MB_blu-gold, ap = 100.00%         (TP = 8, FP = 0)
class_id = 135, name = MB_blu-gold_s, ap = 100.00%       (TP = 6, FP = 0)
class_id = 136, name = MB_iceball, ap = 100.00%          (TP = 12, FP = 0)
class_id = 137, name = MB_iceball_s, ap = 100.00%        (TP = 10, FP = 0)
class_id = 138, name = MB_bk-g, ap = 0.00%       (TP = 0, FP = 0)
class_id = 139, name = MB_wh, ap = 100.00%       (TP = 4, FP = 0)
class_id = 140, name = MB_purple, ap = 0.00%     (TP = 0, FP = 0)
class_id = 141, name = MB_gold, ap = 100.00%     (TP = 14, FP = 0)
class_id = 142, name = MB_gold_f, ap = 0.00%     (TP = 0, FP = 0)
class_id = 143, name = MB_gold_s, ap = 100.00%           (TP = 5, FP = 0)
class_id = 144, name = Tone_red, ap = 100.00%            (TP = 2, FP = 0)
class_id = 145, name = Tone_red_s, ap = 100.00%          (TP = 3, FP = 0)
class_id = 146, name = Tone_purple, ap = 100.00%         (TP = 2, FP = 0)
class_id = 147, name = Tone_purple_s, ap = 100.00%       (TP = 3, FP = 0)
class_id = 148, name = Tone_blue, ap = 100.00%           (TP = 3, FP = 0)
class_id = 149, name = Tone_blue_s, ap = 100.00%         (TP = 12, FP = 0)
class_id = 150, name = Tone_Lblue, ap = 100.00%          (TP = 2, FP = 0)
class_id = 151, name = Tone_Lblue_s, ap = 100.00%        (TP = 1, FP = 0)
class_id = 152, name = 555_yellow, ap = 100.00%          (TP = 44, FP = 0)
class_id = 153, name = 555_light, ap = 100.00%           (TP = 29, FP = 0)
class_id = 154, name = VG, ap = 100.00%          (TP = 2, FP = 0)
class_id = 155, name = VG_s, ap = 100.00%        (TP = 2, FP = 0)
class_id = 156, name = PLM, ap = 100.00%         (TP = 2, FP = 0)
class_id = 157, name = PLM_s, ap = 100.00%       (TP = 2, FP = 0)
class_id = 158, name = Kool, ap = 100.00%        (TP = 17, FP = 0)
class_id = 159, name = Lucky_bk-6s, ap = 100.00%         (TP = 9, FP = 0)

 for conf_thresh = 0.50, precision = 0.97, recall = 0.98, F1-score = 0.97
 for conf_thresh = 0.50, TP = 1645, FP = 58, FN = 35, average IoU = 91.90 %

 IoU threshold = 50 %, used Area-Under-Curve for each unique Recall
 mean average precision (mAP@0.50) = 0.886020, or 88.60 %
Total Detection Time: 21 Seconds
